Supply Item,Used In (Months),Item Type,Parent Sign-Up (Have It),Where to Buy,Qty Needed (7kids),Est. Price
purple lets source second hand and asking around,Buy new,ANYONE just have around,,,,
,Items Used Weekly,,,,,
Child-Sized Mixing Bowls,Core,Reusable (Year-Round),[ ],,1–2 sets,$15–$25
Measuring Cup & Scoop Sets,Core,Reusable (Year-Round),[ ],,1 set,$8–$12
Whisk & Wooden Spoons,Core,Reusable (Year-Round),[ Bailey],,1 set,$5–$10
Child's Baking Sheet,Core,Reusable (Year-Round),Probably just use adult ones,,1–2 sheets,$10–$15
Child's Apron,Core,Reusable (Year-Round),[ Jessica x1] (EACH BRING OWN),,1 per child,$8–$12
Beeswax Crayons (Block/Stick),Core,Reusable (Year-Round),[ ],,1 set,$15–$25
"Stockmar Liquid Watercolor (Red, Yellow, Blue)",Core,Consumable,I have regular water colors lots of sets,,1 set (3 bottles),$20–$30
Paint Jars & Paintbrushes,Core,Reusable (Year-Round),I have lots of brushes,,1 set,$10–$15
Watercolor & Drawing Paper,Core,Consumable,I have water color paper,,1–2 pads,$10–$18
Painting Board & Sponges,Core,Reusable (Year-Round),The mats are just to avoid messes we can just wipe them up. ,,1 board per child,$10–$15
Child's Broom,Core,Reusable (Year-Round),[Jessica ],,1 unit,$8–$14
,,,,,,
,Items Used Multiple Times in the Year,,,,,
Blunt End Needles,"Sept, Oct, Dec, Jan, Feb, March, April (7x)",Reusable (Year-Round),[ Rachael],,1 pack,$3–$5
"Yarn (Assorted Colors: Red, Yellow, Orange, Green, White)","Sept, Oct, Nov, Jan, Feb, March, April (7x)",Consumable,I have one set but maybe we need to buy one more skin of each,,1 multi-pack / skeins,$10–$18
Twine,"Sept, Oct, Nov, Dec, Jan, Feb (6x)",Consumable,[ Emily ],,1 spool,$4–$6
Child-Safe Knives / Wooden Knife,"Autumn Core, Nov, Feb, March (4x)",Reusable (Year-Round),[Jessica],,1 per child,$6–$12
Mason Jars (Various Sizes),"Oct, Dec, Jan, May (4x)",Reusable (Year-Round),[Jessica ],,1 pack (6–12 jars),$10–$15
Wash Basin / Large Bowl,"Autumn Core, Feb, April, May (4x)",Reusable (Year-Round),[ ],,1–2 basins,$5–$10
"Found Nature Items (Sticks, leaves, moss, twigs)","Oct, Nov, Dec, Jan (4x)",Consumable,[ ],,As needed,Free
Beeswax Candle Rolling Kit & Wax Sheets,"Nov, Dec, Feb, March (4x)",Consumable,[ ],,1 kit / extra sheets,$15–$25
Small Scoops / Measuring Scoops,"Autumn Core, Feb, March, April, May (5x)",Reusable (Year-Round),[ ],,1 set,$5–$10
Children's Scissors,"Oct, Jan, Feb (3x)",Reusable (Year-Round),[Jessica x3],,1 pair per child,$3–$6
Window Crayons (Including White),"Nov, Jan, March (3x)",Consumable,I have one set I think if they can take turns but maybe we need a second set,,1 pack,$8–$12
Grater / Spice Grater,"Oct, Feb, April (3x)",Reusable (Year-Round),[Jessica] [I have one too] if we can get one more,,1 unit,$6–$10
Modeling Clay (Oven-bake or air-dry),"Jan, Feb, April (3x)",Consumable,[ ],,1 large pack,$8–$14
"Soap (Lavender, Bar, & Laundry)","Feb, April, May (3x)",Consumable,[Jessica],,2–3 bars,$6–$10
Beeswax Polish,"Nov, Dec, Feb (3x)",Consumable,"Rachael, I have it",,1 jar,$8–$14
Spray Bottles / Watering Cans,"Nov, March, April (3x)",Reusable (Year-Round),[Jessica],,2–3 units,$4–$8
White Crayons,"Jan, Feb, May (3x)",Consumable,[ ],,1 pack,$3–$5
Mashers,"Sept, Nov, March (3x)",Reusable (Year-Round),[Jessica x1],,1–2 units,$6–$12
Colored Ribbon,"Dec, March, May (3x)",Consumable,[ ],,2–3 spools,$6–$10
Double Boiler,"Sept, Nov (2x)",Reusable (Year-Round),[ ],,1 unit,$20–$30
Pellet Beeswax (for melting),"Sept, Nov (2x)",Consumable,[ ],,1 lb bag,$10–$15
Wool Batting,"Sept, April (2x)",Consumable,[ ],,1 bag,$8–$12
White Playsilks (or dye cloth),"Sept, April (2x)",Reusable (Year-Round),[ ],,1 per child,$6–$12 ea
Turmeric / Yellow Dye,"Sept, April (2x)",Consumable,[Jessica ],,1 jar,$3–$5
"Whole Spices (Nutmeg, Cinnamon, Cardamom, Anise)","Oct, Dec (2x)",Consumable,"[Jessica], I have some too",,1 bag/jar each,$10–$15
Aquaphor (or thick ointment),"Oct, Dec (2x)",Consumable,[  Emily ],,1 tube,$7–$12
Mod Podge,"Oct, Dec (2x)",Consumable,[ ],,1 jar,$6–$9
Sachets & Treat Bags,"Dec, Feb (2x)",Consumable,[ ],,1 multi-pack,$6–$10
Halved Walnut Shells,"Nov, Feb (2x)",Consumable,"Rachael, might need to get a few more",,1 bag,Free / $5
Masking Tape,"Nov, March (2x)",Consumable,[ Heidi],,1 roll,$3–$5
Wool Felt Sheets,"Nov, Feb (2x)",Consumable,[ ],,1 pack,$10–$15
Clothespins & Clothesline,"Nov, May (2x)",Reusable (Year-Round),[Jessica- Clothespins ],,1 pack,$4–$7
Ice Cube Trays & Popsicle Sticks,"Jan, Feb (2x)",Consumable / Reusable,[Jessica ],,1 set,$3–$5
Children's Puzzles,"Jan, April (2x)",Reusable (Year-Round),[ ],,1–2 sets,$10–$15
Hole Punch (Mini / 3mm),"Feb, March (2x)",Reusable (Year-Round),[Jessica ] Rachael,,1 punch,$4–$8
Dried Lavender,"Feb, May (2x)",Consumable,[ ],,1 bag,$6–$10
Modeling Beeswax,"March, May (2x)",Consumable,[ ],,1 box,$12–$20
"Wood Dowels (9–12"")","March, May (2x)",Reusable (Year-Round),[ ],,1 pack,$4–$8
Green Food Coloring,"Dec, March (2x)",Consumable,[Jessica ],,1 bottle,$3–$5
Potting Soil,"March, April (2x)",Consumable,[ Emily],,1 bag,$5–$8
Peeler / Apple Peeler,"Sept, March (2x)",Reusable (Year-Round),[Jessica],,1 unit,$8–$15
Wrapped Floral Wire,"March, May (2x)",Consumable,Rachael,,1 pack,$4–$6
Pastry Blender / Cutter,"March, May (2x)",Reusable (Year-Round),[Jessica],,1 unit,$8–$12
Baskets / Easter Baskets,"Dec, April (2x)",Reusable (Year-Round),[ ],,1–2 baskets,$8–$14
Wool Roving,"April, May (2x)",Consumable,[ ],,1 pack,$8–$12
,,,,,,
,Items Used Once,,,,,
Whole Walnuts,September,Consumable,Rachael,,1 bag,$5–$8
Wooden Hammers,September,Reusable,Rachael,,2–3 hammers,$8–$14
Brown & Green Pipe Cleaners,September,Consumable,[ ],,1 pack,$3–$5
Corn Husks,September,Consumable,Rachael,,1 pack,$3–$6
Corn Grinder (Optional),September,Reusable,[ ],,1 unit,$25–$40
Apple Cake Molds / Muffin Tins,September,Reusable,[Jessica x1] Rachael x1,,1–2 tins,$10–$15
Mortar and Pestle,October,Reusable,[Jessica] Rachael x1,,1 set,$12–$20
Circle Cookie Cutter,October,Reusable,[ ],,1 cutter,$2–$4
Pumpkin Carving Knife,October,Reusable,[ ],,1 knife,$3–$6
Tea Candles or LED Candles,October,Consumable,Rachael,,1 pack,$5–$10
Kite Paper (Yellow & Orange),October,Consumable,[ ],,1 pack,$8–$12
Glue Brush,October,Reusable,not sure,,1–2 brushes,$3–$5
Pumpkins (Small-med per child + Sugar Pie),October,Consumable,[ ],,1 per child + 1 pie,$10–$20
Moon Cake Molds,October,Reusable,Rachael,,1 set,$8–$14
Red Bean Paste,October,Consumable,[ ],,1 can,$4–$7
Maple Leaf Cookie Cutters,November,Reusable,Rachael,,1 set,$5–$8
Mini Pie Tins,November,Reusable,[ ],,1 set,$8–$12
"Wood Rounds (Two 9"" per child)",December,Consumable,[ ],,2 per child,$10–$20
Whole Cranberries & Navel Oranges,December,Consumable,[ ],,1 bag each,$6–$10
Evergreen Boughs & Cedar Branches,December,Consumable,[ ],,As needed,Free / $5
"Grapevine Wreaths (8"")",December,Consumable,[ ],,1 per child,$3–$5 ea
Red Ribbon (Double-sided),December,Consumable,[ ],,1 spool,$4–$8
Burlap / Fabric Squares & Treat Bags,December,Consumable,[ ],,1 pack,$5–$10
Red Food Coloring & Peppermint Extract,December,Consumable,[Jessica ],,1 unit each,$5–$8
Gingerbread Cookie Cutters & Mold,December,Reusable,[ ],,1 set,$12–$20
Piping Bag Set & Icing Squeeze Bottles,December,Reusable,[ ],,1 set,$8–$15
Candy Thermometer,December,Reusable,[ ],,1 unit,$8–$14
Star Stickers & Paper Tags,December,Consumable,[ ],,1 pack each,$5–$8
Melon Baller or Paring Knife,December,Reusable,[Jessica ],,1 unit,$5–$10
Cosmetic Sponges,December,Consumable,,,1 pack,$3–$5
Wood Cut Round Ornaments,December,Consumable,[Jessica ],,1 pack,$6–$10
Unflavored Floss or Clean Thread,December,Consumable,[ ],,1 pack,$2–$4
"Ice Tools (Chisels, Eye Goggles)",January,Reusable,[ ],,1 set,$15–$25
"Borax, Baking Soda, & Coarse Salt",January,Consumable,[ Jessica],,1 box each,$8–$14
Thin Copper Wire (Optional),January,Consumable,[ ],,1 spool,$5–$8
Pattern Blocks / Mandala Parts,January,Reusable,[ ],,1 set,$12–$20
White Hair Conditioner,January,Consumable,[ ],,1 bottle,$2–$4
Small Embroidery Hoop,January,Reusable,Rachael (4),,1–2 hoops,$3–$6
Glue Stick & Elmer's Glue,January,Consumable,[Jessica x1 ] Rachael lots,,1 pack each,$4–$7
Stiff Candle Wick (with metal base),February,Consumable,[ ],,1 pack,$5–$8
"Assorted Cleaning Supplies (Rags, dustpans)",February,Reusable,[ ],,1 set,$10–$18
Heart Punch (Optional),February,Reusable,Rachael it is a small one,,1 punch,$5–$8
Chocolate Molds,February,Reusable,[ Jessica],,1–2 molds,$6–$12
Lemon Juicer,February,Reusable,[Jessica ] Rachael,,1 unit,$6–$10
Lyra Ferby Colored Pencils,February,Reusable,Rachael I have other brands,,1 set,$15–$25
"Wood Toys, Bowls, or Spoons",February,Reusable,[ ],,1 set,$15–$25
Rice,February,Consumable,[  Emily ],,1 bag,$3–$5
